Comment,Designator,Footprint,JLCPCB Part #（optional）
100nF,"C2, C4",C_CHIP-0805(2012-METRIC),C49678
TAJB107K006RNJ,C1,C-POL_TANTALUM-1411(3528-METRIC),C16133
10uF,C3,C_CHIP-0805(2012-METRIC),C15850
10K,"R1, R5, R7",R_CHIP-0805(2012-METRIC),C17414
200R,"R2, R3, R4",,C17540
2516-,X1,2516-,C3406
AMS1117-3.3,U3,AMS1117-3.3,C6186
DC-005-5A-2.5-SMT,J2,DCJ200-05-A-XX-X_REVA,C319133
ESP32-WROOM-32D,U1,ESP32-WROOM-32D,C529578
EVQPUL02K,"S1, S2",EVQPUL02K,C79175
G5NB-1A-E DC12,K1,G5NB-1A-EDC12,C225714
RS-3535MWAR,LED1,RS-3535MWAR,C110402
RS0102YH8,U5,RS0102YH8SOT-23-8,C783414
SS210,D1,DIODEDO-214AC(SMA),C14996
SWPA6045S680MT,L1,LVS606028-100M-N,C53663
TSM-105-01-F-SH,J1,TSM-105-01-F-SH,
XL1509-5.0,U2,SOIC8,C2902368
AP2302B,Q1,SOT23,C406812
H1M,D2,SODFL3718X115,C698680