Comment,Designator,Footprint,JLCPCB Part #（optional）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100R,"R3, R5, R7, R9, R11, R13",R_CHIP-0805(2012-METRIC),C17408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100nF,C1,C_CHIP-0805(2012-METRIC),C49678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10K,"R1, R15, R18, R20",R_CHIP-0805(2012-METRIC),C17414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10nF,C2,C_CHIP-0805(2012-METRIC),C1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K,"R2, R4, R6, R8, R10, R12",R_CHIP-0805(2012-METRIC),C4328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330R,R16,R_CHIP-0805(2012-METRIC),C17630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33uF,"C3, C4",C_CHIP-1812(4532-METRIC),C342604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470R,"R14, R19",R_CHIP-0805(2012-METRIC),C17710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47R,R17,R_CHIP-0805(2012-METRIC),C17714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2541HWR-2x8P,X2,FE08-2W,C239359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2541WR-2x8P,X1,MA08-2W,C239339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP2302B,"Q1, Q2",TRANSISTOR-FET_DMN2004K,C406812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVQPUL02K,S1,EVQPUL02K,C79175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA12-N20,M1,GA12-N20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1M,D1,DIODE_DO-219-AB(SOD123F),C698680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIC16F15225-I_ST,U7,PIC16F15225-I_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRE1113GR,"U1, U2, U3, U4, U5, U6",QRE1113GR,C232862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS2166XF5,U8,SN74LVC1G66DBVR,C783418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Description,,,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,BOM,CATEGORY,DESCRIPTION,,,FORWARD_CURRENT,,,,,,,,,,HEIGHT,LABEL,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,PACKAGE,PART_STATUS,,,POPULARITY,PRICE,PURCHASE-URL,RATING,REVERSE_VOLTAGE,ROHS_COMPLIANT,SERIES,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TYPE,VALUE,VOLTAGE_RATING